Gene,BetterName,CountOfBetterName,,
,Breast Cancer,1,,
APC,Colorectal Cancer,24,,
APC,Desmoid,12,,
APC,Colorectal Neoplasia,8,,
APC,Odontomas,1,,
APC,Pigmented ocular fundus lesions,1,,
APC,Osteomas,1,,
APC,Jaw lesions,1,,
APC,Gastrointestinal,1,,
APC,Breast Cancer,1,,
APC,cysts,1,,
APC,Ovarian Cancer,1,,
APC,colorectal neoplasia (cancer and adenoma),1,,
APC,Colorectal Adenoma,1,,
APC,extraintestinal cancer,1,,
APC I1307K ,Prostate Cancer,1,,
ATM,Breast Cancer,17,,
ATM,Ovarian Cancer,4,,
ATM,Colorectal Cancer,3,,
ATM,Prostate Cancer,3,,
ATM,Pancreatic Cancer,3,,
ATM,Gastric Cancer,2,,
ATM,Hepatobiliary Cancer,1,,
ATM,Sarcoma,1,,
ATM,unknown,1,,
ATM,Bladder cancer,1,,
ATM,Myeloma,1,,
ATM,Esophageal Cancer,1,,
ATM,Endometrial Cancer,1,,
ATM,Buccal cancer,1,,
ATM,Brain Cancer,1,,
ATM,Lung Cancer,1,,
ATR,Breast Cancer,1,,
ATR,Sarcoma,1,,
BARD1,Breast Cancer,5,,
BARD1,Ovarian Cancer,3,,
BARD1,Pancreatic Cancer,1,,
BLM,Breast Cancer,2,,
BMPR1A,Breast Cancer,1,,
BRAF,Colorectal Cancer,2,,
BRCA1,Breast Cancer,22,,
BRCA1,Ovarian Cancer,11,,
BRCA1,Prostate Cancer,7,,
BRCA1,Pancreatic Cancer,3,,
BRCA1,Biliary Tract,1,,
BRCA1,Hematologic,1,,
BRCA1,Uveal melanoma,1,,
BRCA1,Trachea+bronchus+lung,1,,
BRCA1,Melanoma,1,,
BRCA1,Larynx,1,,
BRCA1,Esophageal Cancer,1,,
BRCA1,Endometrial Cancer,1,,
BRCA1,Contralateral breast cancer,1,,
BRCA1,Colorectal Cancer,1,,
BRCA1,Cervical Cancer,1,,
BRCA1,Bladder Cancer,1,,
BRCA1,Brain Cancer,1,,
BRCA1,Gastric Cancer,1,,
BRCA1+BRCA2,Breast Cancer,1,,
BRCA2,Breast Cancer,18,,
BRCA2,Ovarian Cancer,10,,
BRCA2,Pancreatic Cancer,7,,
BRCA2,Prostate Cancer,6,,
BRCA2,Esophageal Cancer,4,,
BRCA2,Colorectal Cancer,4,,
BRCA2,Pharynx,2,,
BRCA2,Larynx,2,,
BRCA2,Gastric Cancer,2,,
BRCA2,Liver Cancer,2,,
BRCA2,Cervical Cancer,2,,
BRCA2,Endometrial Cancer,2,,
BRCA2,Brain Cancer,2,,
BRCA2,Bone,2,,
BRCA2,Bladder Cancer,2,,
BRCA2,Biliary Tract,2,,
BRCA2,Melanoma,2,,
BRCA2,Trachea+bronchus+lung,1,,
BRCA2,Thyroid Cancer,1,,
BRCA2,Urogenital system,1,,
BRCA2,Testicular cancer,1,,
BRCA2,Sarcoma,1,,
BRCA2,Uveal melanoma,1,,
BRCA2,Lymphoma,1,,
BRCA2,Lung Cancer,1,,
BRCA2,Leukemia,1,,
BRCA2,Kidney Cancer,1,,
BRCA2,Hodgkin Lymphoma,1,,
BRCA2,Hematologic,1,,
BRCA2,Buccal cavity and pharynx,1,,
BRCA2,Contralateral breast cancer,1,,
BRCA2,Digestive organs,1,,
BRCA2,Connective tissue,1,,
BRCA2,Myeloma,1,,
BRCA2 & CHEK2,Breast Cancer,1,,
BRD2,Prostate Cancer,1,,
BRIP1,Breast Cancer,12,,
BRIP1,Ovarian Cancer,7,,
BRIP1,Pancreatic Cancer,2,,
CAT,Prostate Cancer,1,,
CDH1,Breast Cancer,8,,
CDH1,Gastric Cancer,7,,
CDH1,Ovarian Cancer,1,,
CDH1,Pancreatic Cancer,1,,
CDKN2A,Melanoma,6,,
CDKN2A,Pancreatic Cancer,6,,
CDKN2A,Breast Cancer,4,,
CDKN2A,Respiratory,2,,
CDKN2A,Urinary tract cancer,1,,
CDKN2A,Ovarian Cancer,1,,
CDKN2A,"Lip, mouth, pharynx",1,,
CDKN2A,Skin Cancer,1,,
CDKN2A,Thyroid Cancer,1,,
CDKN2A,Sarcoma,1,,
CDKN2A,Hematologic,1,,
CDKN2A,Gynecologic,1,,
CDKN2A,Eye/Brain,1,,
CDKN2A,Digestive organs,1,,
CDKN2A,Bone,1,,
CDKN2A,Male genital organs,1,,
CDKN2A,Lung Cancer,1,,
CHAD,Prostate Cancer,1,,
CHEK2,Breast Cancer,64,,
CHEK2,Prostate Cancer,23,,
CHEK2,Colorectal Cancer,12,,
CHEK2,Ovarian Cancer,11,,
CHEK2,Bladder Cancer,4,,
CHEK2,Melanoma,3,,
CHEK2,Kidney Cancer,3,,
CHEK2,Lung Cancer,3,,
CHEK2,Pancreatic Cancer,3,,
CHEK2,Thyroid Cancer,3,,
CHEK2,Gastric Cancer,3,,
CHEK2,Contralateral breast cancer,3,,
CHEK2,Larynx,2,,
CHEK2,Breast (second),2,,
CHEK2,Non-Hodgkin Lymphoma,2,,
CHEK2,Sarcoma,1,,
CHEK2,Second breast cancer (contralateral + ipslateral),1,,
CHEK2,Testicular cancer,1,,
CHEK2,Myeloma,1,,
CHEK2,Leukemia,1,,
CHEK2,Brain Cancer,1,,
CHEK2,Endometrial Cancer,1,,
CHEK2,Hodgkin Lymphoma,1,,
CHEK2,Cervical Cancer,1,,
CHEK2,Oral,1,,
CHEK2  & BRCA2,Breast Cancer,1,,
CYP1A1,Colorectal Cancer,1,,
CYP1B1,Prostate Cancer,1,,
CYP2E1,Colorectal Cancer,1,,
D2HGDH,Prostate Cancer,1,,
DNMT3B,Colorectal Cancer,1,,
EHBP1,Prostate Cancer,1,,
EPCAM,Endometrial Cancer,4,,
EPCAM,Colorectal Cancer,4,,
EPCAM-MSH2,Endometrial Cancer,1,,
EPCAM-MSH2,Colorectal Cancer,1,,
EPHA8,Prostate Cancer,1,,
ERCC2,Sarcoma,1,,
ESR1,Prostate Cancer,1,,
FA,Leukemia,1,,
FAM175A,Ovarian Cancer,1,,
FANCC,Breast Cancer,1,,
FANCC,Pancreatic Cancer,1,,
FANCM,Breast Cancer,1,,
FAP,Breast Cancer,1,,
FAP,Colorectal Cancer,1,,
FAP,Lung Cancer,1,,
FAP,Pancreatic Cancer,1,,
FAP,Thyroid Cancer,1,,
FAS,Prostate Cancer,1,,
FGFR4,Prostate Cancer,1,,
FH,Uterine leiomysosarcoma,1,,
FH,Kidney Cancer,1,,
FOXP4,Prostate Cancer,1,,
GH1,Colorectal Cancer,1,,
GSTM1,Colorectal Cancer,1,,
GSTT7,Colorectal Cancer,1,,
HNF1B,Prostate Cancer,1,,
HOXB13,Prostate Cancer,12,,
HOXB13,Breast Cancer,3,,
HOXB13,Colorectal Cancer,2,,
HOXB13 G84E ,Prostate Cancer,2,,
